epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,78.5598,1.49951,7.91875,1.21891,0.0013,0.33333,0.1121,0.05633,0.92499,3.74595,0.98355,0.000118893,0.000118893,0.000118893
42,80.5189,0.77631,5.4848,1.00858,0.0013,0.33333,0.1121,0.05633,0.92499,3.74595,0.98355,0.000110264,0.000110264,0.000110264
43,82.2645,1.22438,5.67002,1.00984,0.00131,0.33333,0.08418,0.04237,0.9081,3.72295,0.98949,0.00010107,0.00010107,0.00010107
44,83.887,1.38239,6.61936,1.25837,0.00131,0.33333,0.08418,0.04237,0.9081,3.72295,0.98949,9.13102e-05,9.13102e-05,9.13102e-05
45,85.7782,1.20861,9.84428,1.02813,0.0013,0.33333,0.08418,0.04237,0.8824,3.69077,0.98639,8.09843e-05,8.09843e-05,8.09843e-05
46,87.6135,0.97921,5.18216,1.17713,0.0013,0.33333,0.08418,0.04237,0.8824,3.69077,0.98639,7.00924e-05,7.00924e-05,7.00924e-05
47,89.5009,1.09837,5.07169,0.94161,0.00127,0.33333,0.08417,0.04236,0.87516,3.67878,0.97521,5.86347e-05,5.86347e-05,5.86347e-05
48,91.1916,1.57521,7.55194,1.08946,0.00127,0.33333,0.08417,0.04236,0.87516,3.67878,0.97521,4.66111e-05,4.66111e-05,4.66111e-05
49,93.0904,0.98172,4.73182,1.08578,0.00128,0.33333,0.06743,0.03399,0.86311,3.66306,0.97008,3.40216e-05,3.40216e-05,3.40216e-05
50,95.2126,1.30348,5.17935,1.18318,0.00128,0.33333,0.06743,0.03399,0.86311,3.66306,0.97008,2.08663e-05,2.08663e-05,2.08663e-05
